method,representation,guard_type,positive_budget,seed,seed_group,ood_negative_weight,selected_attack_row_id,support_source,in_attack_train_pool,overlaps_attack_val,overlaps_attack_eval
transformer_hidden_plain_lr,transformer_hidden,plain,16,42,main_paired_42_46,1.0,3995,stage2_high_purity_attack_train_pool,True,False,False
transformer_hidden_plain_lr,transformer_hidden,plain,16,42,main_paired_42_46,1.0,3999,stage2_high_purity_attack_train_pool,True,False,False
transformer_hidden_plain_lr,transformer_hidden,plain,16,42,main_paired_42_46,1.0,4126,stage2_high_purity_attack_train_pool,True,False,False
transformer_hidden_plain_lr,transformer_hidden,plain,16,42,main_paired_42_46,1.0,4164,stage2_high_purity_attack_train_pool,True,False,False
transformer_hidden_plain_lr,transformer_hidden,plain,16,42,main_paired_42_46,1.0,4173,stage2_high_purity_attack_train_pool,True,False,False
transformer_hidden_plain_lr,transformer_hidden,plain,16,42,main_paired_42_46,1.0,4328,stage2_high_purity_attack_train_pool,True,False,False
transformer_hidden_plain_lr,transformer_hidden,plain,16,42,main_paired_42_46,1.0,4848,stage2_high_purity_attack_train_pool,True,False,False
transformer_hidden_plain_lr,transformer_hidden,plain,16,42,main_paired_42_46,1.0,5097,stage2_high_purity_attack_train_pool,True,False,False
transformer_hidden_plain_lr,transformer_hidden,plain,16,42,main_paired_42_46,1.0,5642,stage2_high_purity_attack_train_pool,True,False,False
transformer_hidden_plain_lr,transformer_hidden,plain,16,42,main_paired_42_46,1.0,5690,stage2_high_purity_attack_train_pool,True,False,False
transformer_hidden_plain_lr,transformer_hidden,plain,16,42,main_paired_42_46,1.0,5695,stage2_high_purity_attack_train_pool,True,False,False
transformer_hidden_plain_lr,transformer_hidden,plain,16,42,main_paired_42_46,1.0,5784,stage2_high_purity_attack_train_pool,True,False,False
transformer_hidden_plain_lr,transformer_hidden,plain,16,42,main_paired_42_46,1.0,5914,stage2_high_purity_attack_train_pool,True,False,False
transformer_hidden_plain_lr,transformer_hidden,plain,16,42,main_paired_42_46,1.0,6314,stage2_high_purity_attack_train_pool,True,False,False
transformer_hidden_plain_lr,transformer_hidden,plain,16,42,main_paired_42_46,1.0,6630,stage2_high_purity_attack_train_pool,True,False,False
transformer_hidden_plain_lr,transformer_hidden,plain,16,42,main_paired_42_46,1.0,6740,stage2_high_purity_attack_train_pool,True,False,False
transformer_hidden_plain_lr,transformer_hidden,plain,16,43,main_paired_42_46,1.0,2972,stage2_high_purity_attack_train_pool,True,False,False
transformer_hidden_plain_lr,transformer_hidden,plain,16,43,main_paired_42_46,1.0,3040,stage2_high_purity_attack_train_pool,True,False,False
transformer_hidden_plain_lr,transformer_hidden,plain,16,43,main_paired_42_46,1.0,3490,stage2_high_purity_attack_train_pool,True,False,False
transformer_hidden_plain_lr,transformer_hidden,plain,16,43,main_paired_42_46,1.0,3495,stage2_high_purity_attack_train_pool,True,False,False
transformer_hidden_plain_lr,transformer_hidden,plain,16,43,main_paired_42_46,1.0,3778,stage2_high_purity_attack_train_pool,True,False,False
transformer_hidden_plain_lr,transformer_hidden,plain,16,43,main_paired_42_46,1.0,3868,stage2_high_purity_attack_train_pool,True,False,False
transformer_hidden_plain_lr,transformer_hidden,plain,16,43,main_paired_42_46,1.0,3884,stage2_high_purity_attack_train_pool,True,False,False
transformer_hidden_plain_lr,transformer_hidden,plain,16,43,main_paired_42_46,1.0,3982,stage2_high_purity_attack_train_pool,True,False,False
transformer_hidden_plain_lr,transformer_hidden,plain,16,43,main_paired_42_46,1.0,3999,stage2_high_purity_attack_train_pool,True,False,False
transformer_hidden_plain_lr,transformer_hidden,plain,16,43,main_paired_42_46,1.0,4021,stage2_high_purity_attack_train_pool,True,False,False
transformer_hidden_plain_lr,transformer_hidden,plain,16,43,main_paired_42_46,1.0,4142,stage2_high_purity_attack_train_pool,True,False,False
transformer_hidden_plain_lr,transformer_hidden,plain,16,43,main_paired_42_46,1.0,4849,stage2_high_purity_attack_train_pool,True,False,False
transformer_hidden_plain_lr,transformer_hidden,plain,16,43,main_paired_42_46,1.0,5343,stage2_high_purity_attack_train_pool,True,False,False
transformer_hidden_plain_lr,transformer_hidden,plain,16,43,main_paired_42_46,1.0,6032,stage2_high_purity_attack_train_pool,True,False,False
transformer_hidden_plain_lr,transformer_hidden,plain,16,43,main_paired_42_46,1.0,6707,stage2_high_purity_attack_train_pool,True,False,False
transformer_hidden_plain_lr,transformer_hidden,plain,16,43,main_paired_42_46,1.0,6884,stage2_high_purity_attack_train_pool,True,False,False
transformer_hidden_plain_lr,transformer_hidden,plain,16,44,main_paired_42_46,1.0,3166,stage2_high_purity_attack_train_pool,True,False,False
transformer_hidden_plain_lr,transformer_hidden,plain,16,44,main_paired_42_46,1.0,3300,stage2_high_purity_attack_train_pool,True,False,False
transformer_hidden_plain_lr,transformer_hidden,plain,16,44,main_paired_42_46,1.0,3812,stage2_high_purity_attack_train_pool,True,False,False
