asset_name,asset_path,exists,asset_type,row_count,contains_original100,contains_raw_timestamp,contains_packet_order,contains_row_id,contains_capture_id,contains_session_id,contains_bin_id,contains_window_start_end,contains_label_mapping,contains_feature_name_mapping,can_reconstruct_original100,can_build_temporal_split,can_build_capture_disjoint_split,can_build_purged_split,limitations,next_action
id_raw_pcap,D:\study\paper\anomaly_detection\paper04\KitNET-py-master\KitNET-py-master\public_data\raw\iot23_7_6.pcap,True,pcap,binary_pcap,False,True,True,False,True,False,False,False,False,False,True,True,False,False,No persisted packet hash manifest; mapping relies on deterministic extraction order.,Rebuild with explicit row_id/packet_id/hash manifest.
id_extracted_tsv,D:\study\paper\anomaly_detection\paper04\KitNET-py-master\KitNET-py-master\runs\frontend100_crosscapture_stage1_2026-03-25\extract_id_7_6\iot23_7_6_first50000.tsv,True,tsv_packet_table,50000,False,True,True,True,True,False,False,False,False,False,True,True,False,True,"Row_id is implicit row order, not a persisted explicit id column.","Persist explicit row_id, packet_order, timestamp, capture_id, and feature_row mapping."
id_full_feature_npy,D:\study\paper\anomaly_detection\paper04\KitNET-py-master\KitNET-py-master\runs\frontend100_crosscapture_stage1_2026-03-25\extract_id_7_6\iot23_7_6_features_first50000.npy,True,npy_feature_matrix,50000x100,True,False,False,False,False,False,False,False,False,False,False,False,False,False,Feature matrix has no embedded timestamp or row ids.,Join to TSV by extraction row order and verify hashes.
id_source_matrix,D:\study\paper\anomaly_detection\paper04\KitNET-py-master\KitNET-py-master\runs\frontend100_crosscapture_stage1_2026-03-25\data\id_source_100.npy,True,source_feature_matrix,50000x100,True,False,False,False,False,False,False,False,False,False,False,False,False,False,Current paper asset used by experiments; provenance is implicit via stage metadata.,Generate sidecar row-level manifest.
id_feature_headers,D:\study\paper\anomaly_detection\paper04\KitNET-py-master\KitNET-py-master\runs\frontend100_crosscapture_stage1_2026-03-25\extract_id_7_6\feature_headers.txt,True,feature_name_mapping,100,False,False,False,False,False,False,False,False,False,True,True,False,False,False,Feature names only; no row provenance.,Use with extractor sidecar manifest.
ood_raw_pcap,D:\study\paper\anomaly_detection\paper04\KitNET-py-master\KitNET-py-master\public_data\raw\iot23_4_1.pcap,True,pcap,binary_pcap,False,True,True,False,True,False,False,False,False,False,True,True,False,False,No persisted packet hash manifest; mapping relies on deterministic extraction order.,Rebuild with explicit row_id/packet_id/hash manifest.
ood_extracted_tsv,D:\study\paper\anomaly_detection\paper04\KitNET-py-master\KitNET-py-master\runs\frontend100_crosscapture_stage1_2026-03-25\extract_ood_4_1\iot23_4_1_first20000.tsv,True,tsv_packet_table,20000,False,True,True,True,True,False,False,False,False,False,True,True,False,True,"Row_id is implicit row order, not a persisted explicit id column.","Persist explicit row_id, packet_order, timestamp, capture_id, and feature_row mapping."
ood_full_feature_npy,D:\study\paper\anomaly_detection\paper04\KitNET-py-master\KitNET-py-master\runs\frontend100_crosscapture_stage1_2026-03-25\extract_ood_4_1\iot23_4_1_features_first20000.npy,True,npy_feature_matrix,20000x100,True,False,False,False,False,False,False,False,False,False,False,False,False,False,Feature matrix has no embedded timestamp or row ids.,Join to TSV by extraction row order and verify hashes.
ood_source_matrix,D:\study\paper\anomaly_detection\paper04\KitNET-py-master\KitNET-py-master\runs\frontend100_crosscapture_stage1_2026-03-25\data\ood_benign_source_100.npy,True,source_feature_matrix,20000x100,True,False,False,False,False,False,False,False,False,False,False,False,False,False,Current paper asset used by experiments; provenance is implicit via stage metadata.,Generate sidecar row-level manifest.
ood_feature_headers,D:\study\paper\anomaly_detection\paper04\KitNET-py-master\KitNET-py-master\runs\frontend100_crosscapture_stage1_2026-03-25\extract_ood_4_1\feature_headers.txt,True,feature_name_mapping,100,False,False,False,False,False,False,False,False,False,True,True,False,False,False,Feature names only; no row provenance.,Use with extractor sidecar manifest.
attack_raw_pcap,D:\study\paper\anomaly_detection\paper04\KitNET-py-master\KitNET-py-master\public_data\raw\iot23_34_1_malicious.pcap,True,pcap,binary_pcap,False,True,True,False,True,False,False,False,False,False,True,True,False,False,No persisted packet hash manifest; mapping relies on deterministic extraction order.,Rebuild with explicit row_id/packet_id/hash manifest.
attack_extracted_tsv,D:\study\paper\anomaly_detection\paper04\KitNET-py-master\KitNET-py-master\runs\frontend100_joint_eval_stage1_2026-03-31\extract_attack_34_1\iot23_34_1_malicious_first30000.tsv,True,tsv_packet_table,30000,False,True,True,True,True,False,False,False,False,False,True,True,False,True,"Row_id is implicit row order, not a persisted explicit id column.","Persist explicit row_id, packet_order, timestamp, capture_id, and feature_row mapping."
attack_full_feature_npy,D:\study\paper\anomaly_detection\paper04\KitNET-py-master\KitNET-py-master\runs\frontend100_joint_eval_stage1_2026-03-31\extract_attack_34_1\iot23_34_1_malicious_features_first30000.npy,True,npy_feature_matrix,30000x100,True,False,False,False,False,False,False,False,False,False,False,False,False,False,Feature matrix has no embedded timestamp or row ids.,Join to TSV by extraction row order and verify hashes.
attack_source_matrix,D:\study\paper\anomaly_detection\paper04\KitNET-py-master\KitNET-py-master\runs\frontend100_joint_eval_stage1_2026-03-31\data\attack_source_100.csv,True,source_feature_matrix,10000x100,True,False,False,False,False,False,False,False,False,False,False,False,False,False,Current paper asset used by experiments; provenance is implicit via stage metadata.,Generate sidecar row-level manifest.
